Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,HZ,VC,FU,BC,SQ,FG+,MI,TS,DZ,RA,BR,FG,SN,Datetime_Date
28,2007-05-15,90.0,42.0,62.4666666667,11.0,44.4,53.2,14.0,0.0,0.034,29.3266666667,30.0513333333,16.9,27,10.8266666667,0.0666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.333333333333,0.0,0.0,2007-05-15
30,2007-05-16,90.0,42.0,62.0,-4.0,44.3125,52.875,14.0,0.0,0.040625,29.326875,30.05,16.9,36,10.9125,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.375,0.0,0.0,2007-05-16
32,2007-05-17,90.0,42.0,61.4705882353,-6.0,43.5882352941,52.2941176471,14.0,0.0,0.0382352941176,29.34,30.0629411765,16.9,3,10.9352941176,0.0588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.235294117647,0.352941176471,0.0,0.0,2007-05-17
34,2007-05-18,90.0,42.0,61.2222222222,-3.0,42.8333333333,51.9444444444,14.0,0.0,0.0361111111111,29.3505555556,30.0733333333,16.9,25,10.7444444444,0.0555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222222222222,0.333333333333,0.0,0.0,2007-05-18
36,2007-05-19,90.0,42.0,61.5789473684,8.0,42.6315789474,52.0,14.0,0.0,0.0342105263158,29.35,30.0736842105,16.9,24,10.7789473684,0.0526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.210526315789,0.315789473684,0.0,0.0,2007-05-19
38,2007-05-20,90.0,42.0,61.3,-5.0,42.5,51.6,14.0,0.0,0.036,29.3515,30.0755,16.9,4,10.775,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.25,0.3,0.0,0.0,2007-05-20
40,2007-05-21,90.0,42.0,61.3333333333,1.0,42.8571428571,51.8095238095,14.0,0.0,0.0342857142857,29.3504761905,30.0747619048,16.9,11,10.6523809524,0.047619047619,0.047619047619,0.0,0.0,0.0,0.0,0.0,0.047619047619,0.0,0.238095238095,0.285714285714,0.0,0.0,2007-05-21
42,2007-05-22,90.0,42.0,61.7727272727,10.0,43.0,52.0909090909,14.0,0.0,0.0327272727273,29.35,30.0740909091,16.9,18,10.6318181818,0.0454545454545,0.0454545454545,0.0,0.0,0.0,0.0,0.0,0.0454545454545,0.0,0.227272727273,0.272727272727,0.0,0.0,2007-05-22
44,2007-05-23,90.0,42.0,62.347826087,14.0,43.2608695652,52.4782608696,14.0,0.0,0.0313043478261,29.3517391304,30.0752173913,16.9,19,10.6826086957,0.0434782608696,0.0434782608696,0.0,0.0,0.0,0.0,0.0,0.0434782608696,0.0,0.217391304348,0.260869565217,0.0,0.0,2007-05-23
46,2007-05-24,90.0,42.0,62.9166666667,14.0,43.7083333333,52.9166666667,14.0,0.0,0.0308333333333,29.3541666667,30.0766666667,16.9,21,10.9583333333,0.0833333333333,0.0416666666667,0.0,0.0,0.0,0.0,0.0,0.0416666666667,0.0,0.25,0.25,0.0,0.0,2007-05-24
48,2007-05-25,90.0,42.0,62.92,1.0,43.72,52.92,14.0,0.0,0.0296,29.3604,30.0832,16.9,5,10.872,0.08,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.24,0.24,0.0,0.0,2007-05-25
50,2007-05-26,90.0,42.0,62.6923076923,-5.0,44.1538461538,53.0384615385,14.0,0.0,0.0673076923077,29.3603846154,30.0842307692,16.9,17,10.7307692308,0.115384615385,0.0384615384615,0.0,0.0,0.0,0.0,0.0,0.0769230769231,0.0,0.269230769231,0.269230769231,0.0,0.0,2007-05-26
52,2007-05-27,90.0,42.0,62.8148148148,4.0,44.2592592593,53.1481481481,14.0,0.0,0.0662962962963,29.3596296296,30.0833333333,16.9,26,10.6851851852,0.111111111111,0.037037037037,0.0,0.0,0.0,0.0,0.0,0.0740740740741,0.0,0.296296296296,0.296296296296,0.0,0.0,2007-05-27
54,2007-05-28,90.0,42.0,62.8928571429,2.0,44.3571428571,53.25,14.0,0.0,0.0639285714286,29.3621428571,30.0857142857,16.9,10,10.4928571429,0.107142857143,0.0357142857143,0.0,0.0,0.0,0.0,0.0,0.0714285714286,0.0,0.321428571429,0.285714285714,0.0,0.0,2007-05-28
56,2007-05-29,90.0,42.0,63.275862069,10.0,44.8275862069,53.6551724138,14.0,0.0,0.061724137931,29.3631034483,30.0865517241,16.9,18,10.3551724138,0.137931034483,0.0344827586207,0.0,0.0,0.0,0.0,0.0,0.0689655172414,0.0,0.310344827586,0.310344827586,0.0,0.0,2007-05-29
58,2007-05-30,90.0,42.0,63.7333333333,13.0,45.2666666667,54.0333333333,14.0,0.0,0.0596666666667,29.3613333333,30.085,16.9,19,10.3633333333,0.166666666667,0.0333333333333,0.0,0.0,0.0,0.0,0.0,0.0666666666667,0.0,0.3,0.3,0.0,0.0,2007-05-30
60,2007-05-31,90.0,42.0,63.9,8.0,45.6,54.3333333333,14.0,0.0,0.06,29.3673333333,30.091,16.9,19,10.3866666667,0.2,0.0333333333333,0.0,0.0,0.0,0.0,0.0,0.0666666666667,0.0,0.333333333333,0.3,0.0,0.0,2007-05-31
62,2007-06-01,90.0,42.0,64.6666666667,10.0,46.3,54.9666666667,12.0,0.0,0.0663333333333,29.361,30.085,16.9,17,10.1533333333,0.233333333333,0.0333333333333,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.366666666667,0.3,0.0,0.0,2007-06-01
64,2007-06-02,90.0,42.0,65.2333333333,9.0,47.0666666667,55.6,12.0,0.0,0.0676666666667,29.349,30.0733333333,16.9,22,10.0033333333,0.233333333333,0.0333333333333,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.4,0.333333333333,0.0,0.0,2007-06-02
66,2007-06-03,90.0,42.0,65.6333333333,6.0,47.7,56.0333333333,12.0,0.0,0.068,29.3326666667,30.057,16.9,25,9.86666666667,0.266666666667,0.0333333333333,0.0,0.0,0.0,0.0,0.0,0.133333333333,0.0,0.4,0.366666666667,0.0,0.0,2007-06-03
68,2007-06-04,90.0,42.0,65.8,1.0,48.3666666667,56.4,12.0,0.0,0.081,29.3133333333,30.0376666667,16.9,31,9.79,0.266666666667,0.0333333333333,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.433333333333,0.4,0.0,0.0,2007-06-04
70,2007-06-05,90.0,42.0,65.7,-9.0,48.9666666667,56.5666666667,12.0,0.0,0.095,29.2976666667,30.021,16.9,5,9.54333333333,0.266666666667,0.0333333333333,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.466666666667,0.433333333333,0.0,0.0,2007-06-05
72,2007-06-06,90.0,42.0,65.4666666667,-8.0,49.2,56.6,12.0,0.0,0.0953333333333,29.2873333333,30.0106666667,16.9,17,9.57333333333,0.266666666667,0.0333333333333,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.466666666667,0.433333333333,0.0,0.0,2007-06-06
74,2007-06-07,91.0,42.0,65.9,15.0,49.3333333333,56.8333333333,12.0,0.0,0.0953333333333,29.2723333333,29.9946666667,22.7,20,10.15,0.266666666667,0.0333333333333,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.466666666667,0.4,0.0,0.0,2007-06-07
76,2007-06-08,91.0,42.0,65.9,3.0,49.1333333333,56.7666666667,12.0,0.0,0.091,29.2713333333,29.9916666667,22.7,28,10.4033333333,0.233333333333,0.0333333333333,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.466666666667,0.366666666667,0.0,0.0,2007-06-08
78,2007-06-09,91.0,42.0,65.7666666667,0.0,48.9666666667,56.6666666667,12.0,0.0,0.091,29.2766666667,29.9966666667,22.7,33,10.4333333333,0.233333333333,0.0333333333333,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.466666666667,0.333333333333,0.0,0.0,2007-06-09
80,2007-06-10,91.0,42.0,66.0,1.0,49.2666666667,56.9333333333,12.0,0.0,0.091,29.277,29.997,22.7,17,10.19,0.233333333333,0.0333333333333,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.466666666667,0.333333333333,0.0,0.0,2007-06-10
82,2007-06-11,91.0,42.0,66.5666666667,5.0,49.8,57.4333333333,12.0,0.0,0.091,29.2743333333,29.994,22.7,11,9.99,0.233333333333,0.0333333333333,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.466666666667,0.333333333333,0.0,0.0,2007-06-11
84,2007-06-12,91.0,42.0,67.1333333333,5.0,50.3666666667,57.9,12.0,0.0,0.091,29.2726666667,29.9913333333,22.7,5,10.0133333333,0.233333333333,0.0333333333333,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.466666666667,0.333333333333,0.0,0.0,2007-06-12
86,2007-06-13,91.0,42.0,67.1666666667,6.0,50.5666666667,58.0,12.0,0.0,0.091,29.277,29.9953333333,22.7,5,9.72333333333,0.233333333333,0.0333333333333,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.466666666667,0.333333333333,0.0,0.0,2007-06-13
88,2007-06-14,91.0,42.0,67.4333333333,9.0,50.5333333333,58.1,12.0,0.0,0.0783333333333,29.2826666667,30.0013333333,22.7,5,9.54,0.233333333333,0.0333333333333,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.433333333333,0.3,0.0,0.0,2007-06-14
90,2007-06-15,91.0,42.0,68.1666666667,9.0,50.9666666667,58.6333333333,12.0,0.0,0.0736666666667,29.281,30.0,22.7,6,9.29666666667,0.233333333333,0.0333333333333,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.4,0.266666666667,0.0,0.0,2007-06-15
92,2007-06-16,93.0,42.0,69.0666666667,11.0,51.9,59.4333333333,9.0,0.0,0.0736666666667,29.2713333333,29.99,22.7,28,9.11333333333,0.266666666667,0.0333333333333,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.433333333333,0.266666666667,0.0,0.0,2007-06-16
94,2007-06-17,93.0,43.0,69.8666666667,12.0,53.0333333333,60.2333333333,9.0,0.0,0.0736666666667,29.2613333333,29.98,22.7,11,9.07333333333,0.3,0.0333333333333,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.433333333333,0.266666666667,0.0,0.0,2007-06-17
96,2007-06-18,93.0,43.0,70.2333333333,9.0,53.9,60.8,9.0,0.0,0.083,29.254,29.972,22.7,20,9.19666666667,0.333333333333,0.0333333333333,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.466666666667,0.266666666667,0.0,0.0,2007-06-18
98,2007-06-19,93.0,44.0,70.8,3.0,54.4,61.4333333333,9.0,0.0,0.1,29.25,29.9666666667,22.7,28,9.22,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.466666666667,0.266666666667,0.0,0.0,2007-06-19
100,2007-06-20,93.0,44.0,71.1666666667,3.0,54.4666666667,61.6,9.0,0.0,0.1,29.252,29.968,22.7,27,9.24,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.466666666667,0.266666666667,0.0,0.0,2007-06-20
102,2007-06-21,93.0,44.0,71.1,-1.0,54.6333333333,61.6666666667,9.0,0.0,0.100333333333,29.2526666667,29.9686666667,22.7,3,9.25666666667,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.5,0.266666666667,0.0,0.0,2007-06-21
104,2007-06-22,93.0,44.0,70.9,-1.0,54.6666666667,61.5666666667,9.0,0.0,0.100333333333,29.2506666667,29.9673333333,22.7,6,9.15333333333,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.533333333333,0.266666666667,0.0,0.0,2007-06-22
106,2007-06-23,93.0,44.0,70.5333333333,-5.0,54.8,61.5,9.0,0.0,0.101333333333,29.2446666667,29.9623333333,22.7,12,8.87666666667,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.533333333333,0.3,0.0,0.0,2007-06-23
108,2007-06-24,93.0,44.0,70.7666666667,-1.0,55.4,61.9,9.0,0.0,0.101333333333,29.2363333333,29.9533333333,22.7,9,8.85,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.533333333333,0.333333333333,0.0,0.0,2007-06-24
110,2007-06-25,93.0,44.0,71.4333333333,6.0,55.7666666667,62.3666666667,9.0,0.0,0.0676666666667,29.237,29.952,22.7,14,8.83666666667,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.133333333333,0.0,0.5,0.333333333333,0.0,0.0,2007-06-25
112,2007-06-26,93.0,44.0,71.9333333333,10.0,56.5,62.9,9.0,0.0,0.0716666666667,29.2386666667,29.9536666667,22.7,22,8.75666666667,0.366666666667,0.0333333333333,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.5,0.333333333333,0.0,0.0,2007-06-26
114,2007-06-27,93.0,44.0,72.4666666667,10.0,57.2666666667,63.4333333333,9.0,0.0,0.0766666666667,29.234,29.9493333333,22.7,24,8.87333333333,0.366666666667,0.0333333333333,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.5,0.333333333333,0.0,0.0,2007-06-27
116,2007-06-28,93.0,44.0,72.2,-5.0,57.1666666667,63.2666666667,9.0,0.0,0.0766666666667,29.2346666667,29.9486666667,22.7,3,9.07333333333,0.333333333333,0.0333333333333,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.5,0.3,0.0,0.0,2007-06-28
118,2007-06-29,93.0,44.0,71.7333333333,-8.0,57.0666666667,63.0666666667,9.0,0.0,0.0766666666667,29.238,29.9516666667,22.7,2,8.99666666667,0.3,0.0333333333333,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.5,0.3,0.0,0.0,2007-06-29
120,2007-06-30,93.0,44.0,71.5666666667,-5.0,56.5666666667,62.7666666667,9.0,0.0,0.0763333333333,29.2423333333,29.956,22.7,3,8.86,0.266666666667,0.0333333333333,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.466666666667,0.3,0.0,0.0,2007-06-30
122,2007-07-01,93.0,44.0,71.2666666667,-7.0,56.2,62.5,9.0,0.0,0.07,29.253,29.9666666667,22.7,4,8.93333333333,0.233333333333,0.0333333333333,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.433333333333,0.266666666667,0.0,0.0,2007-07-01
124,2007-07-02,93.0,44.0,71.0333333333,-6.0,55.7666666667,62.2,9.0,0.0,0.0686666666667,29.2683333333,29.9816666667,22.7,14,8.95666666667,0.233333333333,0.0333333333333,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.4,0.233333333333,0.0,0.0,2007-07-02
126,2007-07-03,93.0,44.0,71.1,0.0,55.6666666667,62.2,9.0,0.0,0.0816666666667,29.2846666667,29.9983333333,22.7,21,8.97666666667,0.2,0.0333333333333,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.4,0.233333333333,0.0,0.0,2007-07-03
128,2007-07-04,93.0,44.0,71.5,5.0,55.9,62.5,9.0,0.0,0.074,29.2966666667,30.011,22.7,27,8.92666666667,0.233333333333,0.0333333333333,0.0333333333333,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.4,0.233333333333,0.0,0.0,2007-07-04
130,2007-07-05,93.0,44.0,72.3,8.0,56.3,63.0333333333,7.0,0.0,0.06,29.3013333333,30.016,22.7,31,8.94333333333,0.266666666667,0.0333333333333,0.0666666666667,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.366666666667,0.233333333333,0.0,0.0,2007-07-05
132,2007-07-06,93.0,52.0,72.9,4.0,56.6,63.3333333333,2.0,0.0,0.0596666666667,29.3096666667,30.0233333333,22.7,5,8.74666666667,0.266666666667,0.0333333333333,0.0666666666667,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.333333333333,0.233333333333,0.0,0.0,2007-07-06
134,2007-07-07,93.0,52.0,72.7666666667,5.0,56.6333333333,63.3333333333,2.0,0.0,0.0596666666667,29.321,30.0353333333,14.0,22,8.26333333333,0.266666666667,0.0333333333333,0.0666666666667,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.333333333333,0.233333333333,0.0,0.0,2007-07-07
136,2007-07-08,94.0,52.0,73.3,12.0,57.1,63.7,2.0,0.0,0.0596666666667,29.3166666667,30.0326666667,14.0,24,8.24,0.266666666667,0.0333333333333,0.0666666666667,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.333333333333,0.233333333333,0.0,0.0,2007-07-08
138,2007-07-09,94.0,53.0,73.8333333333,9.0,57.7333333333,64.1333333333,2.0,0.0,0.0696666666667,29.3083333333,30.0236666667,14.0,24,8.36666666667,0.266666666667,0.0666666666667,0.0666666666667,0.0,0.0,0.0,0.0,0.2,0.0,0.366666666667,0.233333333333,0.0,0.0,2007-07-09
140,2007-07-10,94.0,53.0,74.2,6.0,58.2666666667,64.5,2.0,0.0,0.084,29.299,30.0143333333,14.0,23,8.53,0.3,0.1,0.0666666666667,0.0,0.0,0.0,0.0,0.233333333333,0.0,0.366666666667,0.233333333333,0.0,0.0,2007-07-10
142,2007-07-11,94.0,53.0,74.1333333333,-3.0,58.2333333333,64.4333333333,2.0,0.0,0.084,29.293,30.0083333333,14.0,30,8.66333333333,0.3,0.1,0.0666666666667,0.0,0.0,0.0,0.0,0.233333333333,0.0,0.366666666667,0.233333333333,0.0,0.0,2007-07-11
144,2007-07-12,94.0,53.0,74.0666666667,-2.0,58.2666666667,64.4,2.0,0.0,0.084,29.2856666667,30.0006666667,14.0,29,8.74,0.3,0.1,0.0666666666667,0.0,0.0,0.0,0.0,0.233333333333,0.0,0.366666666667,0.233333333333,0.0,0.0,2007-07-12
146,2007-07-13,94.0,53.0,73.8666666667,-5.0,58.2333333333,64.2666666667,2.0,0.0,0.084,29.2823333333,29.997,14.0,1,8.63,0.3,0.1,0.0666666666667,0.0,0.0,0.0,0.0,0.233333333333,0.0,0.366666666667,0.233333333333,0.0,0.0,2007-07-13
148,2007-07-14,94.0,53.0,73.7333333333,0.0,58.2333333333,64.2,2.0,0.0,0.084,29.275,29.9893333333,14.0,26,8.84333333333,0.3,0.1,0.0666666666667,0.0,0.0,0.0,0.0,0.233333333333,0.0,0.366666666667,0.233333333333,0.0,0.0,2007-07-14
150,2007-07-15,94.0,53.0,73.5333333333,-3.0,58.1333333333,64.1,2.0,0.0,0.084,29.272,29.986,14.0,29,8.84333333333,0.3,0.1,0.0666666666667,0.0,0.0,0.0,0.0,0.233333333333,0.0,0.366666666667,0.233333333333,0.0,0.0,2007-07-15
152,2007-07-16,94.0,53.0,73.3333333333,0.0,58.1333333333,64.0333333333,2.0,0.0,0.097,29.2716666667,29.9856666667,14.0,24,8.82333333333,0.266666666667,0.1,0.0666666666667,0.0,0.0,0.0,0.0,0.233333333333,0.0,0.366666666667,0.266666666667,0.0,0.0,2007-07-16
154,2007-07-17,94.0,53.0,73.1666666667,2.0,58.2,64.0,2.0,0.0,0.100666666667,29.27,29.984,14.0,23,8.83,0.233333333333,0.133333333333,0.0666666666667,0.0,0.0,0.0,0.0,0.266666666667,0.0,0.4,0.3,0.0,0.0,2007-07-17
156,2007-07-18,94.0,53.0,73.1,3.0,58.3,64.0333333333,2.0,0.0,0.143,29.2696666667,29.984,12.9,24,8.66333333333,0.2,0.166666666667,0.0666666666667,0.0,0.0,0.0,0.0,0.266666666667,0.0,0.4,0.333333333333,0.0,0.0,2007-07-18
158,2007-07-19,94.0,53.0,73.1,-1.0,58.5666666667,64.1333333333,2.0,0.0,0.129,29.268,29.9823333333,12.9,1,8.68,0.2,0.166666666667,0.0666666666667,0.0,0.0,0.0,0.0,0.266666666667,0.0333333333333,0.366666666667,0.366666666667,0.0,0.0,2007-07-19
160,2007-07-20,94.0,53.0,72.9,-7.0,58.6,64.0666666667,2.0,0.0,0.129,29.2696666667,29.9836666667,12.9,3,8.69,0.2,0.166666666667,0.0666666666667,0.0,0.0,0.0,0.0,0.266666666667,0.0333333333333,0.366666666667,0.366666666667,0.0,0.0,2007-07-20
162,2007-07-21,94.0,53.0,72.8,-8.0,58.6333333333,64.0,2.0,0.0,0.128666666667,29.2746666667,29.9883333333,12.9,3,8.58,0.2,0.166666666667,0.0666666666667,0.0,0.0,0.0,0.0,0.266666666667,0.0333333333333,0.333333333333,0.366666666667,0.0,0.0,2007-07-21
164,2007-07-22,94.0,53.0,72.8333333333,-4.0,58.8,64.1,2.0,0.0,0.128666666667,29.28,29.9933333333,12.9,16,8.4,0.2,0.166666666667,0.0666666666667,0.0,0.0,0.0,0.0,0.266666666667,0.0333333333333,0.3,0.366666666667,0.0,0.0,2007-07-22
166,2007-07-23,94.0,53.0,73.0666666667,-2.0,58.7,64.1666666667,2.0,0.0,0.127,29.2846666667,29.998,12.9,9,8.23333333333,0.2,0.166666666667,0.0666666666667,0.0,0.0,0.0,0.0,0.266666666667,0.0333333333333,0.266666666667,0.333333333333,0.0,0.0,2007-07-23
168,2007-07-24,94.0,53.0,73.2,0.0,58.5666666667,64.1333333333,2.0,0.0,0.127,29.2866666667,30.0003333333,12.9,20,8.14,0.166666666667,0.166666666667,0.0666666666667,0.0,0.0,0.0,0.0,0.266666666667,0.0333333333333,0.266666666667,0.3,0.0,0.0,2007-07-24
170,2007-07-25,94.0,53.0,73.2333333333,4.0,58.4,64.0333333333,2.0,0.0,0.127,29.2836666667,29.998,12.9,25,8.13333333333,0.133333333333,0.166666666667,0.0666666666667,0.0,0.0,0.0,0.0,0.266666666667,0.0333333333333,0.266666666667,0.266666666667,0.0,0.0,2007-07-25
172,2007-07-26,94.0,53.0,73.0333333333,1.0,58.2666666667,63.9,2.0,0.0,0.128,29.277,29.9916666667,12.9,22,8.21,0.133333333333,0.133333333333,0.0666666666667,0.0,0.0,0.0,0.0,0.266666666667,0.0333333333333,0.266666666667,0.266666666667,0.0,0.0,2007-07-26
174,2007-07-27,94.0,53.0,72.9,3.0,58.2,63.8333333333,2.0,0.0,0.128666666667,29.271,29.985,12.9,3,8.18,0.166666666667,0.133333333333,0.0666666666667,0.0,0.0,0.0,0.0,0.233333333333,0.0333333333333,0.266666666667,0.3,0.0,0.0,2007-07-27
176,2007-07-28,94.0,53.0,73.1333333333,-1.0,58.5333333333,64.1,2.0,0.0,0.128666666667,29.265,29.9796666667,12.9,3,8.10333333333,0.2,0.133333333333,0.0666666666667,0.0,0.0,0.0,0.0,0.233333333333,0.0333333333333,0.266666666667,0.333333333333,0.0,0.0,2007-07-28
178,2007-07-29,94.0,53.0,73.5,0.0,58.6,64.2666666667,0.0,0.0,0.128666666667,29.2606666667,29.975,12.9,5,8.01666666667,0.2,0.133333333333,0.0666666666667,0.0,0.0,0.0,0.0,0.233333333333,0.0333333333333,0.266666666667,0.333333333333,0.0,0.0,2007-07-29
180,2007-07-30,94.0,53.0,73.8,2.0,58.9,64.5333333333,0.0,0.0,0.128666666667,29.258,29.9716666667,12.9,6,7.96666666667,0.2,0.133333333333,0.0666666666667,0.0,0.0,0.0,0.0,0.233333333333,0.0333333333333,0.266666666667,0.333333333333,0.0,0.0,2007-07-30
182,2007-07-31,94.0,53.0,74.3,6.0,59.2,64.8666666667,0.0,1.0,0.128666666667,29.252,29.9653333333,12.9,4,7.84333333333,0.2,0.133333333333,0.0666666666667,0.0,0.0,0.0,0.0,0.233333333333,0.0333333333333,0.266666666667,0.333333333333,0.0,0.0,2007-07-31
